Date of Sale,Product ID,Product Name,Category,Quantity Sold,Unit Price,Total Sales Value,Cost of Goods Sold (COGS),Gross Profit,Sales Channel,Customer ID,Customer Name,Customer City,Customer State,Customer Country,Payment Method,Discount Applied,Tax Amount,Shipping Cost,Return Status,Sales Representative ID,Sales Representative Name,Region,Quarter,Notes/Comments
2024-05-23,P8792,T-Shirt,Clothing,7,631.36,4419.52,1806.43,2613.09,Retail,C25175,Karen Rogers,Davidville,Vermont,Luxembourg,PayPal,220.98,441.95,13.07,Not Returned,S760,Eric Navarro,East,Q2,Turn phone heart window.
2024-02-28,P1304,Jacket,Clothing,1,50.26,50.26,33.79,16.47,Wholesale,C51250,Andrea Miller,North Paul,Connecticut,India,PayPal,0.0,5.03,16.93,Not Returned,S722,Donna Mora,West,Q1,Research describe base detail yourself one coach court.
2024-12-30,P7102,Doll,Toys,9,186.51,1678.59,923.61,754.98,Retail,C11166,Rodney Farrell,New Shannonborough,Delaware,Luxembourg,Credit Card,83.93,167.86,5.43,Not Returned,S476,Daniel Williams,North,Q4,Perhaps bit learn gun still.
2024-06-22,P1675,Fiction,Books,5,172.22,861.1,682.65,178.45,Retail,C57304,Kyle Freeman,Littlechester,North Dakota,Lithuania,PayPal,43.06,86.11,5.87,Not Returned,S345,Stacy Bass,North,Q2,Play themselves myself use act relationship section.
2024-06-06,P5958,T-Shirt,Clothing,7,837.2,5860.4,3045.59,2814.81,Online,C23028,Frank Warren,Carrieberg,Missouri,Mozambique,Bank Transfer,879.06,586.04,9.48,Not Returned,S931,Michael Ruiz,East,Q2,Might trip at candidate.
2024-03-04,P9154,Lego Set,Toys,7,47.45,332.15,177.38,154.77,Wholesale,C30403,Peter West,Port Eduardo,Tennessee,Kuwait,Credit Card,49.82,33.21,16.12,Not Returned,S189,Kathy Santana,North,Q1,Almost before some military outside baby interview.
2024-02-13,P2001,Jeans,Clothing,7,17.77,124.39,69.35,55.04,Wholesale,C47987,Donna Santana,Petersenfort,Missouri,Netherlands,PayPal,18.66,12.44,15.77,Not Returned,S322,Sarah Yates,West,Q1,Scientist few now.
2024-02-12,P5274,Microwave,Home & Kitchen,10,779.33,7793.3,4461.57,3331.73,Retail,C25074,Johnny Green,Kendrafurt,Missouri,Bahamas,Credit Card,0.0,779.33,18.06,Not Returned,S793,Timothy Allen,South,Q1,Area along individual man tell response.
2024-03-01,P5202,Doll,Toys,4,644.59,2578.36,2059.64,518.72,Online,C91712,Brittany Hatfield,Johnsonmouth,Missouri,Kuwait,Credit Card,0.0,257.84,3.96,Not Returned,S659,John Hernandez,South,Q1,Our car food.
2024-02-23,P3431,Biography,Books,10,411.85,4118.5,2767.52,1350.98,Wholesale,C74933,Mariah Lee,Rodriguezton,South Carolina,Reunion,Bank Transfer,411.85,411.85,16.67,Not Returned,S750,Mark Morgan,South,Q1,Wide require fast support.
2024-10-04,P1159,Non-fiction,Books,6,708.54,4251.24,2970.83,1280.41,Retail,C52182,Jasmine Carter,New Michelleborough,Arizona,Slovenia,Credit Card,212.56,425.12,17.49,Not Returned,S259,Jacob Lee,West,Q4,Smile away and various main too.
2024-10-25,P2087,Toaster,Home & Kitchen,2,521.36,1042.72,798.94,243.78,Online,C39503,Mary Armstrong,East Clayton,South Dakota,Slovakia (Slovak Republic),Credit Card,0.0,104.27,6.01,Not Returned,S559,Kelly Hunter,East,Q4,Certainly through instead base.
2024-03-23,P7083,Shoes,Clothing,9,388.41,3495.69,2139.09,1356.6,Online,C85218,Arthur Perry,Lake Stephanie,New Hampshire,Jersey,Credit Card,0.0,349.57,14.94,Not Returned,S311,Amanda Calhoun,East,Q1,Reveal bad audience grow ahead girl.
2024-10-01,P8900,Biography,Books,7,611.36,4279.52,2111.64,2167.88,Online,C96112,William Fuentes,New Patriciaborough,Alabama,Costa Rica,Credit Card,213.98,427.95,6.05,Not Returned,S440,Monique Santana,North,Q4,Fall ready usually.
2024-09-09,P7685,Vacuum Cleaner,Home & Kitchen,7,811.94,5683.58,2414.97,3268.61,Wholesale,C26688,Charles Gibson,Cooperview,Florida,Antarctica (the territory South of 60 deg S),Credit Card,568.36,568.36,14.59,Not Returned,S136,Heidi Kennedy,West,Q3,Fast there network force or.
2024-08-01,P2337,Shoes,Clothing,3,812.19,2436.57,1318.45,1118.12,Online,C90186,Joseph Parker,Hurstberg,Iowa,Germany,PayPal,365.49,243.66,9.18,Not Returned,S896,Cynthia White,South,Q3,Information animal car after back available.
2024-01-11,P6306,Laptop,Electronics,2,703.08,1406.16,927.5,478.66,Online,C60254,Juan Yang,New Robert,South Dakota,Guinea,PayPal,0.0,140.62,17.63,Not Returned,S578,Jeremy Wood,East,Q1,Around impact individual rock fly daughter fall.
2024-11-29,P3082,Headphones,Electronics,7,801.35,5609.45,4301.07,1308.38,Wholesale,C25932,Travis Hogan,Danielberg,Vermont,Kiribati,Bank Transfer,280.47,560.95,0.76,Not Returned,S480,Cathy Fisher,South,Q4,Easy law view central.
2024-08-21,P1731,Blender,Home & Kitchen,1,491.3,491.3,373.6,117.7,Wholesale,C97360,Mark Webb,West Aaron,Vermont,Kiribati,Bank Transfer,24.57,49.13,4.59,Not Returned,S742,Aimee Evans,West,Q3,Feeling participant interest seem begin marriage which myself.
2024-09-16,P3386,Blender,Home & Kitchen,7,892.92,6250.44,3555.39,2695.05,Online,C23731,Mark Smith,Nicoleton,Alabama,Equatorial Guinea,PayPal,0.0,625.04,1.98,Not Returned,S851,Steve Mckinney,North,Q3,Bill education exist sense training other.
2024-08-16,P1493,Doll,Toys,8,920.09,7360.72,5777.41,1583.31,Wholesale,C43106,Ricky Torres,Davidbury,Wisconsin,Central African Republic,Credit Card,736.07,736.07,1.41,Not Returned,S130,Scott Campbell,East,Q3,Off phone most improve.
2024-06-27,P4776,T-Shirt,Clothing,6,79.81,478.86,362.68,116.18,Online,C10423,Jennifer Osborne,Kellystad,Oregon,Nigeria,Credit Card,0.0,47.89,14.96,Not Returned,S806,Caleb Martinez,North,Q2,Opportunity cause property government line indeed.
2024-11-05,P4063,Jeans,Clothing,8,121.27,970.16,521.73,448.43,Retail,C27060,Michael Flores,South Kevinfort,Arkansas,Tuvalu,Credit Card,48.51,97.02,7.24,Not Returned,S399,Allison Ruiz,East,Q4,Suffer without rather.
2024-10-10,P2323,Microwave,Home & Kitchen,2,537.9,1075.8,562.76,513.04,Retail,C29257,Travis Middleton,Smithton,Delaware,Nicaragua,Credit Card,53.79,107.58,6.32,Not Returned,S872,Devin Bowman,South,Q4,Road dinner seem explain black.
2024-05-29,P1757,Toaster,Home & Kitchen,3,605.2,1815.6,1012.23,803.37,Wholesale,C19595,Gary Jackson,Wongchester,Georgia,Kiribati,Credit Card,272.34,181.56,5.99,Not Returned,S245,Brittany Stewart,West,Q2,Travel know smile home southern.
2024-06-01,P5064,Blender,Home & Kitchen,8,636.45,5091.6,3334.07,1757.53,Wholesale,C17583,Daniel Gonzalez,New Jennifer,Missouri,Antigua and Barbuda,PayPal,763.74,509.16,0.17,Not Returned,S428,Bradley Lopez,West,Q2,Sea quality do father.
2024-04-14,P8715,Vacuum Cleaner,Home & Kitchen,2,950.77,1901.54,1366.46,535.08,Retail,C24700,Sean Walton,Robertton,South Dakota,Qatar,Bank Transfer,95.08,190.15,15.91,Not Returned,S508,Tina Blevins,South,Q2,Ok majority region democratic entire analysis.
2024-08-03,P5062,Action Figure,Toys,8,346.98,2775.84,1691.43,1084.41,Retail,C70612,Aaron Pena,North Kristin,Utah,Cyprus,Bank Transfer,0.0,277.58,9.67,Not Returned,S101,Jennifer Morse,West,Q3,Cover part paper beat five movie throw.
2024-11-12,P4583,Lego Set,Toys,5,123.31,616.55,488.01,128.54,Retail,C81461,Joseph Lee,East Mollystad,Illinois,Taiwan,Bank Transfer,30.83,61.66,8.48,Not Returned,S194,Michael Fitzgerald,West,Q4,Might his lot the drive.
2024-04-28,P5588,Biography,Books,1,129.62,129.62,97.67,31.95,Online,C10033,Juan Smith,Hardyton,Nebraska,Lithuania,PayPal,19.44,12.96,10.52,Not Returned,S505,Bruce Miller,West,Q2,Step child this degree.
2024-02-22,P5643,Vacuum Cleaner,Home & Kitchen,4,599.46,2397.84,993.14,1404.7,Retail,C50056,Sabrina Hansen,Williamsburgh,Kansas,Liechtenstein,Bank Transfer,239.78,239.78,2.36,Not Returned,S880,Ryan Ramirez,South,Q1,Floor itself news experience must cut.
2024-02-04,P5632,Board Game,Toys,9,143.08,1287.72,784.51,503.21,Online,C79648,Jeremy Jacobs,Josephtown,Delaware,New Zealand,Credit Card,193.16,128.77,19.11,Not Returned,S859,Annette Quinn,East,Q1,Design they young according movement.
2024-05-29,P3257,Board Game,Toys,3,132.07,396.21,177.58,218.63,Retail,C87471,Anthony Cruz,Davidshire,Minnesota,Denmark,PayPal,19.81,39.62,11.19,Not Returned,S747,Michele Guerrero,West,Q2,Science top ask film force.
2024-07-31,P9009,Shoes,Clothing,9,325.06,2925.54,1933.26,992.28,Online,C68193,John Perkins,Port Alexis,North Carolina,Greece,PayPal,146.28,292.55,14.9,Not Returned,S736,Mark Burnett,South,Q3,Choice computer yard career deal trip.
2024-01-14,P7405,Toaster,Home & Kitchen,1,847.76,847.76,671.06,176.7,Wholesale,C20665,Randall Costa II,Port Jesus,Missouri,Guinea,Bank Transfer,127.16,84.78,0.13,Returned,S735,Brandi Jimenez,North,Q1,Pattern ago other majority.
2024-05-18,P3304,Microwave,Home & Kitchen,10,295.04,2950.4,1304.62,1645.78,Retail,C53279,Tyler Peters,Lake Natasha,West Virginia,Liberia,PayPal,147.52,295.04,6.61,Not Returned,S803,Michele Miller,West,Q2,Page region start size.
2024-03-16,P9587,Action Figure,Toys,6,137.93,827.58,632.4,195.18,Retail,C55766,Anthony Johnson,West Michelle,Texas,Saint Kitts and Nevis,PayPal,124.14,82.76,16.14,Not Returned,S325,Courtney Cooper,South,Q1,Figure ground much run.
2024-08-12,P7362,T-Shirt,Clothing,1,241.69,241.69,104.86,136.83,Online,C57659,Alex Burton,East Bradybury,Tennessee,Greece,Credit Card,12.08,24.17,4.66,Not Returned,S188,Antonio Stanton,East,Q3,Career two large center find power.
2024-06-29,P1883,Doll,Toys,9,668.97,6020.73,3970.1,2050.63,Wholesale,C66440,Rachel Ortiz,South Patriciaside,Ohio,Spain,Bank Transfer,903.11,602.07,9.8,Not Returned,S320,Melissa Ford,East,Q2,North but west.
2024-05-16,P1861,Smartphone,Electronics,3,356.3,1068.9,551.47,517.43,Online,C28403,Jonathan Howell,North Mark,Idaho,Egypt,Credit Card,160.34,106.89,13.61,Not Returned,S506,Tina Kemp,South,Q2,Collection bad until our per leader change.
2024-08-20,P2676,Jacket,Clothing,10,884.0,8840.0,6346.38,2493.62,Retail,C80241,Dawn Shaffer,Johnsonton,New York,Benin,PayPal,884.0,884.0,5.11,Not Returned,S294,Michael Ellis,East,Q3,Green save identify establish manage hotel financial.
2024-02-11,P4076,Jacket,Clothing,4,258.76,1035.04,715.84,319.2,Retail,C50924,Krista Madden,Sarahton,New Jersey,Indonesia,Bank Transfer,155.26,103.5,5.09,Not Returned,S829,Jennifer Crawford,South,Q1,Event yet effect.
2024-01-23,P1150,Blender,Home & Kitchen,8,500.35,4002.8,2302.73,1700.07,Retail,C74694,Michele Hickman,Port Allison,Michigan,Hungary,PayPal,600.42,400.28,2.36,Not Returned,S201,Valerie Clark,South,Q1,Word source wall drug purpose mouth then.
2024-07-30,P2263,Shoes,Clothing,7,563.42,3943.94,2976.26,967.68,Retail,C15157,Sean Hernandez,New Lisashire,Georgia,Zambia,Credit Card,197.2,394.39,9.8,Not Returned,S991,Eddie Carter,East,Q3,Situation over would a cell analysis call.
2024-06-29,P2757,Toaster,Home & Kitchen,9,900.63,8105.67,5220.32,2885.35,Online,C48881,Tiffany Castillo,Julieborough,California,Mayotte,PayPal,1215.85,810.57,10.72,Not Returned,S337,Diana Greer,North,Q2,College probably church body mean someone painting.
2024-03-01,P3827,Fiction,Books,7,256.29,1794.03,921.81,872.22,Wholesale,C96457,Deborah Mitchell,Osborneview,Kentucky,Martinique,Credit Card,269.1,179.4,17.18,Not Returned,S760,Emily Peterson,East,Q1,Social suddenly seek choice produce type.
2024-03-01,P4761,Comics,Books,9,664.0,5976.0,2920.01,3055.99,Online,C18491,Heather Herring,Fieldsbury,Alaska,Guyana,Bank Transfer,597.6,597.6,13.49,Not Returned,S743,Teresa Frazier,West,Q1,Great record affect same number drug continue serve.
2024-05-26,P3249,Non-fiction,Books,1,557.59,557.59,296.17,261.42,Wholesale,C93206,Kenneth Young,Shieldsville,Illinois,Chad,Credit Card,27.88,55.76,17.54,Not Returned,S281,Austin Simmons,North,Q2,Wait education think similar particular before.
2024-03-10,P4497,Shoes,Clothing,4,735.23,2940.92,2136.49,804.43,Retail,C56329,Adam King,Hughesfurt,Vermont,Turkmenistan,Bank Transfer,147.05,294.09,12.58,Not Returned,S210,Lauren Gomez,North,Q1,Camera report foreign agency list miss among.
2024-09-26,P9015,Comics,Books,8,315.61,2524.88,1978.12,546.76,Wholesale,C95559,Hannah Smith,Lake Daniel,Ohio,Latvia,Credit Card,378.73,252.49,16.18,Not Returned,S659,Timothy Kirk,East,Q3,Fire town worker.
2024-12-26,P3251,Headphones,Electronics,10,407.84,4078.4,1943.06,2135.34,Retail,C48237,Denise Lambert,South Michelle,North Carolina,Bahamas,PayPal,0.0,407.84,4.17,Not Returned,S865,Steven Lozano,South,Q4,Role mind statement.
2024-06-24,P5261,Action Figure,Toys,6,674.87,4049.22,2113.53,1935.69,Retail,C85181,Melissa Hughes,West Lauren,Colorado,Belgium,Bank Transfer,0.0,404.92,14.65,Not Returned,S122,Robin Harris,West,Q2,Foreign remember site military lead.
2024-11-17,P4956,Smartphone,Electronics,1,22.32,22.32,17.37,4.95,Retail,C18722,Nicole Cole,North Cynthia,Idaho,Norway,Credit Card,2.23,2.23,19.44,Not Returned,S321,Stephanie Stewart,West,Q4,Cover social particularly speech.
2024-08-10,P6111,Jacket,Clothing,3,652.58,1957.74,1353.24,604.5,Wholesale,C63560,Michelle Durham,South Kelsey,Arkansas,Mauritius,PayPal,0.0,195.77,8.19,Not Returned,S644,Joseph Smith,West,Q3,Billion parent now from.
2024-01-22,P7699,Fiction,Books,7,179.6,1257.2,754.6,502.6,Wholesale,C96766,Ivan Skinner,East Logantown,Idaho,Saint Martin,Bank Transfer,62.86,125.72,1.59,Not Returned,S948,George Lawson,South,Q1,Including artist find.
2024-05-06,P3757,Laptop,Electronics,2,432.91,865.82,645.79,220.03,Online,C91331,Anthony Saunders,West Samantha,California,Ireland,Bank Transfer,129.87,86.58,14.2,Not Returned,S141,Henry Winters,East,Q2,Public none sound include air.
2024-06-23,P1595,Lego Set,Toys,8,98.72,789.76,408.38,381.38,Online,C70046,Cheryl Hughes,Coletown,Minnesota,Angola,Credit Card,78.98,78.98,3.25,Not Returned,S445,Luis Valdez,East,Q2,Follow so second.
2024-09-09,P6091,Lego Set,Toys,9,901.54,8113.86,5032.05,3081.81,Online,C79703,Karen Hodge,Gibbsview,Alaska,Oman,Bank Transfer,811.39,811.39,18.68,Returned,S504,Sara Miller,North,Q3,Western likely almost training personal expert.
2024-07-25,P1838,Toaster,Home & Kitchen,1,280.32,280.32,223.77,56.55,Retail,C99224,James Moore,East Greg,Hawaii,Northern Mariana Islands,Bank Transfer,28.03,28.03,19.9,Not Returned,S880,Terri Villa,East,Q3,Watch lot thousand question analysis drive.
2024-07-16,P2900,Microwave,Home & Kitchen,10,981.91,9819.1,7088.6,2730.5,Online,C86827,Christopher Allen,East Natalie,New Jersey,Haiti,Bank Transfer,981.91,981.91,3.25,Not Returned,S256,Brenda Cunningham,East,Q3,Class on reach.
2024-01-05,P3558,Fiction,Books,6,369.56,2217.36,1441.92,775.44,Retail,C74862,Carolyn Hernandez,Port Marcustown,Arizona,Australia,PayPal,332.6,221.74,19.75,Returned,S244,Ashley Carr,North,Q1,Purpose here ago job.
2024-08-14,P1152,Jacket,Clothing,8,910.81,7286.48,4850.49,2435.99,Wholesale,C43764,Faith Wright,West William,Ohio,Iran,Bank Transfer,364.32,728.65,1.4,Not Returned,S385,Jason Hopkins,South,Q3,It job likely different.
2024-09-28,P3578,T-Shirt,Clothing,10,118.95,1189.5,715.57,473.93,Wholesale,C89304,Matthew Sanders,Port Johnnyview,North Dakota,Holy See (Vatican City State),PayPal,178.42,118.95,5.32,Not Returned,S538,Lindsey Chan,East,Q3,Everybody particularly test hospital personal.
2024-05-12,P6607,Comics,Books,4,708.52,2834.08,1623.02,1211.06,Online,C10776,Sarah Thomas,Johnsonchester,Washington,Trinidad and Tobago,Bank Transfer,141.7,283.41,15.69,Not Returned,S900,Jessica Garcia,West,Q2,Page claim future in opportunity you exist.
2024-07-03,P7744,Lego Set,Toys,10,800.49,8004.9,5636.2,2368.7,Online,C57477,Taylor Reed,Katiehaven,Wisconsin,Austria,Bank Transfer,400.25,800.49,13.61,Not Returned,S742,Tyler Thompson,West,Q3,Foot herself among necessary alone improve heart decade.
2024-01-10,P5496,Jeans,Clothing,3,945.5,2836.5,2185.8,650.7,Online,C85122,Brian Kelly,South Barbaramouth,California,Norway,PayPal,141.83,283.65,14.88,Not Returned,S621,Melanie Strickland,North,Q1,Risk catch check clearly ahead career manage.
2024-04-06,P2068,Shoes,Clothing,7,638.4,4468.8,3468.49,1000.31,Retail,C67306,Lisa Roberts,Gabriellechester,Wyoming,Tokelau,PayPal,446.88,446.88,1.81,Returned,S111,Christopher Burton,East,Q2,Mouth certain heavy science new doctor.
2024-04-13,P8137,Doll,Toys,7,700.13,4900.91,3572.86,1328.05,Wholesale,C70989,Jamie Myers,Huntchester,Nebraska,Suriname,PayPal,245.05,490.09,11.29,Not Returned,S941,William Hernandez,North,Q2,Other relate very military recent positive daughter popular.
2024-07-22,P1681,Action Figure,Toys,2,570.26,1140.52,614.71,525.81,Online,C19092,Mrs. Melissa Mendez,Millerton,Alabama,Brazil,Credit Card,0.0,114.05,13.43,Not Returned,S422,Ruth Castillo,North,Q3,Put hard recent project.
2024-06-10,P5506,Action Figure,Toys,7,674.18,4719.26,3012.14,1707.12,Retail,C50120,Crystal Moore,Port Melissaburgh,Alaska,Sweden,Bank Transfer,0.0,471.93,3.26,Not Returned,S592,Carol Chaney,North,Q2,Part decade remain if again care.
2024-09-23,P3952,Smartwatch,Electronics,6,802.15,4812.9,3490.31,1322.59,Online,C83373,Stephen Cunningham,Nobleland,Tennessee,Myanmar,Credit Card,481.29,481.29,4.03,Not Returned,S817,David Marks,East,Q3,Lose big strategy.
2024-05-12,P3542,Biography,Books,8,557.2,4457.6,1851.87,2605.73,Wholesale,C33195,Matthew Kennedy Jr.,Erikberg,New Jersey,Bangladesh,Bank Transfer,0.0,445.76,17.92,Not Returned,S173,Karen Knight,South,Q2,News enter director book cell speech.
2024-11-27,P8514,Action Figure,Toys,9,167.8,1510.2,805.64,704.56,Wholesale,C27678,Sean Morrow,New Angelica,Alabama,Antigua and Barbuda,PayPal,0.0,151.02,10.87,Not Returned,S451,Kristin Campos,North,Q4,Research blood list girl sister their rate.
2024-02-10,P6772,Smartwatch,Electronics,10,457.06,4570.6,3352.1,1218.5,Wholesale,C57455,Jonathan Joyce,Jeffreyfort,Minnesota,Yemen,Bank Transfer,0.0,457.06,2.72,Not Returned,S286,Tammy Davis,South,Q1,Off difficult happen high serve.
2024-01-10,P1723,Microwave,Home & Kitchen,7,648.94,4542.58,3086.85,1455.73,Retail,C16846,Timothy Newton,Kellerstad,Maine,Hungary,Bank Transfer,227.13,454.26,7.16,Not Returned,S179,Sandra Wilson,West,Q1,Matter likely prevent hear trouble it.
2024-01-28,P5191,Board Game,Toys,5,567.11,2835.55,2045.87,789.68,Retail,C33680,James Miranda,Michellefort,Maine,British Indian Ocean Territory (Chagos Archipelago),Credit Card,425.33,283.56,16.05,Not Returned,S496,Gregory Sanchez,North,Q1,Upon full director race.
2024-07-02,P1429,Smartphone,Electronics,6,31.12,186.72,104.84,81.88,Wholesale,C95646,Julie Murray,Lake Reginald,Maryland,Libyan Arab Jamahiriya,Credit Card,18.67,18.67,9.13,Not Returned,S992,Joseph Smith,West,Q3,First through dinner whose worker offer American.
2024-08-31,P9775,Smartphone,Electronics,7,792.82,5549.74,4125.56,1424.18,Retail,C13643,Curtis Murphy,East Laurastad,Alaska,Djibouti,Bank Transfer,0.0,554.97,16.73,Not Returned,S467,Aimee Nichols,North,Q3,Bring painting various current.
2024-08-29,P9463,Laptop,Electronics,5,960.23,4801.15,1921.86,2879.29,Retail,C30560,Christina Smith,Jonesburgh,Iowa,Denmark,Bank Transfer,240.06,480.12,3.21,Not Returned,S262,Janet Aguirre,South,Q3,Decision wish among west agreement girl.
2024-11-15,P8912,Blender,Home & Kitchen,7,53.73,376.11,186.59,189.52,Retail,C53066,George Gibson,New Zachary,Kentucky,Western Sahara,Credit Card,18.81,37.61,7.04,Not Returned,S530,Brian Johnson,West,Q4,Per probably her of.
2024-07-05,P7332,Non-fiction,Books,10,773.05,7730.5,3593.57,4136.93,Wholesale,C10738,Christina Romero,New Danielfort,Delaware,Madagascar,Bank Transfer,1159.58,773.05,14.37,Not Returned,S252,Julie Gibson,North,Q3,Can effort bad measure star tell.
2024-01-13,P1625,Blender,Home & Kitchen,1,779.35,779.35,346.62,432.73,Wholesale,C29358,Gregory Rowe,Johnsontown,Oklahoma,Iraq,Credit Card,116.9,77.94,15.75,Not Returned,S681,Patricia Walker,East,Q1,Education little direction exist president.
2024-12-30,P6964,Jeans,Clothing,9,224.5,2020.5,1131.79,888.71,Online,C63445,Tara Novak,East Kevinhaven,South Dakota,Peru,Bank Transfer,202.05,202.05,19.32,Not Returned,S546,Anthony Cooper,South,Q4,Thank source she light question in.
2024-08-29,P7469,Action Figure,Toys,4,648.81,2595.24,1450.28,1144.96,Wholesale,C19046,James Cobb,Pamhaven,Illinois,Saint Kitts and Nevis,PayPal,259.52,259.52,17.7,Not Returned,S122,Joseph Daniels,West,Q3,Old charge read management production up our allow.
2024-05-01,P6268,Blender,Home & Kitchen,7,964.48,6751.36,2988.58,3762.78,Online,C28901,Larry Stewart DDS,North Bryanbury,New Hampshire,Tunisia,Bank Transfer,1012.7,675.14,0.54,Not Returned,S991,Courtney Cohen,West,Q2,International position write those full rate clear.
2024-08-09,P8569,Smartwatch,Electronics,3,177.91,533.73,314.76,218.97,Online,C87359,Heather Kim,Branchmouth,New Jersey,Bangladesh,PayPal,0.0,53.37,18.67,Not Returned,S743,Paul Walton,East,Q3,Week remain decide happy another image.
